name,location,currency,price,participants,organizer,period,invite,tags,logo_link,item_id,start_date,end_date
Chi Sun Hack 2019,3/F - Chi Sun College,$,1000,9,Other,"Feb 22 - 23, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/768/080/datas/medium_square.png,item-01628,2019-02-22,2019-02-23
Blueprint 2019,"Cambridge, MA, USA",$,1000000,153,Other,"Feb 24, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/768/102/datas/medium_square.png,item-01629,2019-02-24,2019-03-03
HackMentalHealth at Yale,Sterling Hall of Medicine at Yale University,$,1900,58,Other,"Feb 22 - 24, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01630,2019-02-22,2019-02-24
IoT Challenge 2019,School of Informatics - Bayes Centre,$,0,19,Other,"Feb 22, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/767/981/datas/medium_square.png,item-01631,2019-02-22,2019-03-01
IBM Battle of Virtual Bots,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,$,0,2,Other,"Feb 22 - 24, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/768/029/datas/medium_square.jpg,item-01632,2019-02-22,2019-02-24
Lenovo Scholar Network 2019 National App Development Competition,Online,$,12500,100,NAF,"Feb 20 - Mar 29, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/767/780/datas/medium_square.jpg,item-01633,2019-02-20,2019-03-29
NIU Huskie Hack 2019,Northern Illinois University Holmes Student Center,$,1500,61,Other,"Feb 20 - 24, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01634,2019-02-20,2019-02-24
Hack HW,Mudd Library,$,1580,21,Other,"Feb 16 - 17, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/762/030/datas/medium_square.png,item-01635,2019-02-16,2019-02-17
SCESoc's Blind Webpage Imitation,RB 2311,$,20,1,Other,"Feb 16, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/761/303/datas/medium_square.png,item-01636,2019-02-16,2019-02-23
Junction Tokyo 2019,CROSS DOCK HALL HARUMI,$,101500,119,Other,"Feb 15 - 16, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/760/903/datas/medium_square.jpeg,item-01637,2019-02-15,2019-02-16
Hack AE,Memorial Union,$,2250,28,Other,"Mar 02 - 03, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/760/848/datas/medium_square.jpg,item-01638,2019-03-02,2019-03-03
Hackathon BDC 2019,BDC Head Office,$,8635,77,Other,"Mar 16, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01639,2019-03-16,2019-03-23
We Connect The Dots' 2019 Back-To-School Codeathon,1025 Old Country Rd.,$,0,3,Other,"Jan 25 - 27, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/729/898/datas/medium_square.png,item-01640,2019-01-25,2019-01-27
HackBeanpot 2019,Catalant Technologies,$,0,70,Other,"Feb 09 - 10, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/753/619/datas/medium_square.png,item-01641,2019-02-09,2019-02-10
RSK Hackathon London - Positive Impact on Society,"Bush House South Wing, King's College",£,2500,5,Other,"Mar 02 - 03, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/757/346/datas/medium_square.png,item-01642,2019-03-02,2019-03-03
EDCON HACK,The University of New South Wales (UNSW),$,0,52,Other,"Apr 07 - 09, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/757/391/datas/medium_square.jpg,item-01643,2019-04-07,2019-04-09
CryptoChicks Youth Hackathon 2019 in Switzerland,Welle7,$,300,14,Other,"Feb 16 - 17, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/757/395/datas/medium_square.png,item-01644,2019-02-16,2019-02-17
Open Source ERP Hackathon,General Assembly,$,20440,79,Other,"May 17 - 19, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/802/531/datas/medium_square.jpg,item-01645,2019-05-17,2019-05-19
HackCSU,Rams Stadium,$,100000,9,Other,"Mar 01 - 03, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/757/204/datas/medium_square.png,item-01646,2019-03-01,2019-03-03
McWiCS Hackathon 2019,McGill University,$CAD,840,21,Other,"Feb 09 - 10, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/753/390/datas/medium_square.png,item-01647,2019-02-09,2019-02-10
Sustainability using IoT,Lindholmen,$,0,0,Other,"Feb 05 - 06, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01648,2019-02-05,2019-02-06
DISH 2019,Acceler8 by UnionSPACE - Finman Building,$,0,5,Other,"Apr 06 - 07, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/756/938/datas/medium_square.png,item-01649,2019-04-06,2019-04-07
SOCH-India | 2 Nation Hackathon,"Vishakhapatnam, India",₹,600000,115,Other,"Feb 02 - 03, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/753/878/datas/medium_square.jpg,item-01650,2019-02-02,2019-02-03
QHacks 2019,Queen's University,$CAD,17556,225,Other,"Feb 01 - 03, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/671/287/datas/medium_square.jpg,item-01651,2019-02-01,2019-02-03
DivHack 2019: Bridging Differences,Texas A&M University,$,4900,55,Other,"Feb 08 - 09, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/738/536/datas/medium_square.jpg,item-01652,2019-02-08,2019-02-09
hacathon-hajjandumrah,"Mecca, Saudi Arabia",$,800,10,Other,"Jan 29 - 30, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/753/492/datas/medium_square.jpg,item-01653,2019-01-29,2019-01-30
TartanHacks 2019,Carnegie Mellon University - Jared L. Cohon University Center,$,9500,208,Other,"Feb 08 - 09, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/748/941/datas/medium_square.png,item-01654,2019-02-08,2019-02-09
Collegiate Cup 2019,The Garage at Tech Square,$,3000,34,Other,"Jan 27, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/749/077/datas/medium_square.png,item-01655,2019-01-27,2019-02-03
Fast Fashion Textile Technology Hackathon,"Washington, DC, USA",$,0,4,Other,"Feb 09 - 10, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/741/845/datas/medium_square.png,item-01656,2019-02-09,2019-02-10
2019 Fire Hack,"The Spark - Southampton, UK",£,6700,77,Other,"Mar 29 - 31, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/737/202/datas/medium_square.png,item-01657,2019-03-29,2019-03-31
ESA Foundation Twitch Hackathon Presented by Amazon Games,Entertainment Software Association/ESA Foundation HQ,$,4750,51,Other,"Feb 02, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/748/502/datas/medium_square.png,item-01658,2019-02-02,2019-02-09
We Connect The Dots' 2019 Back-To-School Codeathon,1025 Old Country Rd.,$,0,28,Other,"Jan 25 - 27, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/748/594/datas/medium_square.png,item-01659,2019-01-25,2019-01-27
.dev x Smartcar Hackathon,"Evanston, IL, USA",$,500,20,Other,"Feb 16 - 17, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/742/429/datas/medium_square.jpg,item-01660,2019-02-16,2019-02-17
ManMetHacks 1.0,Manchester Metropolitan university Business School,£,700,51,Other,"Jan 26 - 27, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/746/810/datas/medium_square.png,item-01661,2019-01-26,2019-01-27
Hack@Brown 2019,"Sayles Hall, Brown University",$,0,134,Other,"Jan 26 - 27, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01662,2019-01-26,2019-01-27
Rice's Inaugural Datathon,Rice University - Liu Idea Lab for Entrepreneurship and Innovation,$,4250,23,Other,"Jan 25 - 26, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01663,2019-01-25,2019-01-26
Hudson Alpha Tech Challenge 2019,HudsonAlpha Institute for Biotechnology,$,5000,47,Other,"Feb 23 - 24, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/742/064/datas/medium_square.png,item-01664,2019-02-23,2019-02-24
TavHacks,Barclays Rise Center,$,0,48,Other,"Jan 16 - 18, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/741/783/datas/medium_square.png,item-01665,2019-01-16,2019-01-18
StuyHacks VII,"New York, NY, USA",$,0,38,Other,"Jan 12, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01666,2019-01-12,2019-01-19
UHack 2019,University of Tasmania,$,24000,182,Other,"Sep 06 - 07, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/825/754/datas/medium_square.png,item-01667,2019-09-06,2019-09-07
HealthHack1,Bellarmine College Preparatory - Student Life Center (SLC),$,75,14,Other,"Jan 20, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01668,2019-01-20,2019-01-27
Brother Hackathon Dallas,Dallas Makerspace,$,21500,56,Other,"Apr 26 - 27, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/753/550/datas/medium_square.png,item-01669,2019-04-26,2019-04-27
OPERA HACK,Microsoft Corporation,$,0,30,Other,"Jul 27 - 29, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/737/373/datas/medium_square.jpg,item-01670,2019-07-27,2019-07-29
UMSL|Hack: Show Me The Data,UMSL- Express scripts hall,$,5000,46,Other,"Feb 15 - 17, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/737/132/datas/medium_square.png,item-01671,2019-02-15,2019-02-17
"Jio Hackathon, Inter IIT 2018",Powai,₹,200000,40,Other,"Dec 19, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01672,2018-12-19,2018-12-26
Somerco blockathon,German Kraft Brewery,£,0,8,Other,"Feb 23 - 24, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/737/121/datas/medium_square.png,item-01673,2019-02-23,2019-02-24
MSHACK,New Delhi NCR,$,688,80,Microsoft,"Dec 15 - 16, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01674,2018-12-15,2018-12-16
Audio and Acoustic Signal Processing 2018,"Ecublens, Switzerland",$,0,25,Other,"Dec 12 - 16, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01675,2018-12-12,2018-12-16
BrebeufHx 2.0,Collège Jean-de-Brébeuf,$,0,10,Other,"Jan 18 - 19, 2019",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01676,2019-01-18,2019-01-19
HackKing's 5.0,King's College London,£,0,92,Other,"Dec 09, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/735/073/datas/medium_square.png,item-01677,2018-12-09,2018-12-16
OSHHACK 6 [2018-2019],Ohel Shem,$,0,19,Other,"Dec 09 - 10, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/734/593/datas/medium_square.jpg,item-01678,2018-12-09,2018-12-10
BeMyApp Algeria,Cyberparc de Sidi Abdellah,€,250,3,Other,"Dec 06 - 08, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/734/360/datas/medium_square.png,item-01679,2018-12-06,2018-12-08
YouthHax2018,Angus Glen Community Centre,$CAD,0,5,Other,"Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/731/377/datas/medium_square.png,item-01680,2018-12-01,2018-12-08
NAU-ACM Local Hack Day,North American University,$,680,12,Other,"Dec 01, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01681,2018-12-01,2018-12-08
SWE x CruzHacks Beginner Hackathon,UCSC - Engineering 2 - 180,$,0,9,Other,"Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/732/037/datas/medium_square.png,item-01682,2018-12-01,2018-12-08
MAHacks IV,WordStream Headquarters,$,0,56,Other,"Dec 01 - 02, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/716/197/datas/medium_square.png,item-01683,2018-12-01,2018-12-02
KBTG Software Architecture Design and Development Hackathon,KBTG,$,900,19,Other,"Nov 30 - Dec 02, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/730/576/datas/medium_square.jpeg,item-01684,2018-11-30,2018-12-02
UBC Local Hack Day 2018,University of British Columbia - Hugh Dempster Pavilion,$CAD,0,108,Other,"Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/725/442/datas/medium_square.png,item-01685,2018-12-01,2018-12-08
MKB Fintechlab Hackathon,La Vida Duna,€,25000,38,Other,"Nov 30 - Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/729/554/datas/medium_square.png,item-01686,2018-11-30,2018-12-01
Civic Tech Hackathon 2018,"National Incubation Center, Karachi",$,1500,56,Other,"Nov 30 - Dec 02, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/730/007/datas/medium_square.png,item-01687,2018-11-30,2018-12-02
Hack SRC 2,No location yet,$,30,15,Other,"Nov 30 - Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/729/575/datas/medium_square.png,item-01688,2018-11-30,2018-12-01
Renew Paradise,Impact Hub SF,$,1420,55,Other,"Dec 01 - 23, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/729/504/datas/medium_square.jpg,item-01689,2018-12-01,2018-12-23
Hackathon By The Sea 2018,No location yet,$,0,63,Other,"Nov 30 - Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/899/datas/medium_square.png,item-01690,2018-11-30,2018-12-01
PEAHacks,Phillips Exeter Academy,$,50,8,Other,"Jan 19 - 20, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/729/491/datas/medium_square.jpg,item-01691,2019-01-19,2019-01-20
Local Hack Day Tijuana,Mind Hub,MEX$,0,9,Other,"Dec 01, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/726/513/datas/medium_square.png,item-01692,2018-12-01,2018-12-08
< SiGMA Hack >,Malta Fairs and Conventions Centre in Ta’ Qali,$,50000,7,Other,"Nov 28 - 30, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01693,2018-11-28,2018-11-30
iTEC 2018,"Timisoara, UPT Restaurant",€,0,118,Other,"Nov 23 - 25, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/725/481/datas/medium_square.png,item-01694,2018-11-23,2018-11-25
HACKFERENCE,Bengaluru,₹,0,26,Other,"Dec 14 - 16, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/688/673/datas/medium_square.png,item-01695,2018-12-14,2018-12-16
SAP IxP Hackathon November 2018,SAP Vancouver Labs,$,300,18,Other,"Nov 20 - 23, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/725/272/datas/medium_square.png,item-01696,2018-11-20,2018-11-23
HackUSU 2018,Eccles Conference Center,$,1000,21,Other,"Nov 16 - 17, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/723/513/datas/medium_square.png,item-01697,2018-11-16,2018-11-17
Venture Hacks Fall 2018,Stevens Venture Center + Stevens Institute of Technology,$,225,15,Other,"Nov 17 - 18, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/723/855/datas/medium_square.png,item-01698,2018-11-17,2018-11-18
Porticode 3.0,University College London,£,2400,78,Other,"Nov 17 - 18, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/723/417/datas/medium_square.png,item-01699,2018-11-17,2018-11-18
Science 2025: Towards Science Communication for SG60,Science Centre Singapore,$,16000,7,Other,"Dec 01 - 02, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/723/323/datas/medium_square.jpg,item-01700,2018-12-01,2018-12-02
AllCloud - Enabling Connected Business Hackathon,AllCloud offices,$,6500,10,Other,"Dec 02, 2018 - Jan 06, 2019",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/679/736/datas/medium_square.png,item-01701,2018-12-02,2019-01-06
Skatteverket Hackathon 2018,No location yet,$,0,5,Other,"Nov 13 - 14, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/915/datas/medium_square.png,item-01702,2018-11-13,2018-11-14
Small Business Hackathon,AWS Office,$,6000,69,Other,"Dec 15 - 16, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01703,2018-12-15,2018-12-16
AstonHack 2018,"Aston University, Birmingham",£,420,47,Other,"Nov 11, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01704,2018-11-11,2018-11-18
McDonogh Hacks I,Fader Innovation Center,$,2424,11,Other,"Nov 11, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/721/815/datas/medium_square.png,item-01705,2018-11-11,2018-11-18
Pharmahackathon,McGill New Residence,$CAD,450,15,Other,"Nov 16 - 17, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/722/851/datas/medium_square.png,item-01706,2018-11-16,2018-11-17
HackAI '18,University of Texas at Dallas -- ECSW,$,1350,31,Other,"Nov 11, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/715/817/datas/medium_square.png,item-01707,2018-11-11,2018-11-18
InsomniHack 2018,RAIN Eugene,$,1400,22,Other,"Nov 09 - 10, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/871/datas/medium_square.PNG,item-01708,2018-11-09,2018-11-10
Cipherathon,"Bengaluru, India",₹,10000,50,Other,"Dec 22 - 23, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/659/datas/medium_square.jpeg,item-01709,2018-12-22,2018-12-23
BK URBAN BLOCKCHAIN HACKATHON,Bushwick Generator,$,100,3,Other,"Nov 10, 2018",False,['Blockchain'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/808/datas/medium_square.jpg,item-01710,2018-11-10,2018-11-17
SMART CITIES FOR ALL: Assistive Technology for Smart Cities,Huntington Convention Center of Cleveland,$,15500,9,Other,"Nov 07 - 08, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/716/159/datas/medium_square.png,item-01711,2018-11-07,2018-11-08
XR+AI INDUSTRIAL DESIGN HACKATHON,medialesson Office,€,430,4,Other,"Nov 24 - 25, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01712,2018-11-24,2018-11-25
RSK - Thailand,KX - Bangkok (10th floor),$,6000,27,Other,"Nov 23 - 25, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/703/687/datas/medium_square.png,item-01713,2018-11-23,2018-11-25
MadHacks 2018,"Educational Sciences, UW-Madison",$,13217,151,Other,"Nov 11, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/716/837/datas/medium_square.png,item-01714,2018-11-11,2018-11-18
Hackathon Express V2.0,Universidad Ricardo Palma - Laboratorio G,$,89,2,Other,"Nov 08, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/719/049/datas/medium_square.png,item-01715,2018-11-08,2018-11-15
HackNJIT,New Jersey Institute of Technology - Campus Center,$,5700,74,Other,"Nov 03 - 04, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/691/706/datas/medium_square.png,item-01716,2018-11-03,2018-11-04
Zero Day,Graphic Era Hill University,₹,0,1,Other,"Nov 03 - 04, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/704/660/datas/medium_square.png,item-01717,2018-11-03,2018-11-04
Creative Hack,Netlight Consulting,€,1450,14,Other,"Nov 10 - 11, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01718,2018-11-10,2018-11-11
FaithTech Hack Chicago 2018,8A5E Hybrid Event Space,$,1054,17,Other,"Nov 02 - 04, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/715/915/datas/medium_square.jpg,item-01719,2018-11-02,2018-11-04
Hack4MKE,Ward4 (Suite 205),$,0,13,Other,"Nov 04, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/715/964/datas/medium_square.png,item-01720,2018-11-04,2018-11-11
NSBE Region 2 FRC Hackathon,Bethesda North Marriott Hotel & Conference Center,$,800,15,Other,"Nov 16 - 17, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/840/119/datas/medium_square.png,item-01721,2018-11-16,2018-11-17
HackTrain 5.0,Hilton Tower Bridge,£,9960,87,Other,"Nov 09 - 11, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/715/736/datas/medium_square.png,item-01722,2018-11-09,2018-11-11
IDEAS O2O Blockchain & Data Analytics Hackathon-New York,Fordhum University-Lincoln Center Campus Business School-RM334,$,100000,11,Other,"Nov 10 - 11, 2018",False,['Blockchain'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/715/742/datas/medium_square.jpg,item-01723,2018-11-10,2018-11-11
HornetHacksFall2018,the blocs,$,640,10,Other,"Oct 28, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/714/586/datas/medium_square.png,item-01724,2018-10-28,2018-11-04
HackSCHS2018,"Waldorf,MD",$,450,15,Other,"Oct 28, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01725,2018-10-28,2018-11-04
YDWA Nerd Caucus Hackathon 2018,Joe Crump Hall at UFCW Local 21 in Seattle; GeeksNGlory Gaming Bar in Spokane Valley; Bellingham Makerspace at The Foundry in Bellingham,$,0,13,Other,"Nov 16 - 17, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/671/572/datas/medium_square.jpg,item-01726,2018-11-16,2018-11-17
HackJA,Junior Achievement of New Jersey Education Center,$,405,31,Other,"Oct 27, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01727,2018-10-27,2018-11-03
SpartaHacks III,Centennial CVI,$CAD,680,4,Other,"Nov 17, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/723/500/datas/medium_square.png,item-01728,2018-11-17,2018-11-24
ETHIOHACKS 5th Series,Gebeya Head Quarter,$,0,22,Other,"Oct 22 - 23, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/703/468/datas/medium_square.jpg,item-01729,2018-10-22,2018-10-23
Hackea por una Causa,FUNDACION BANCO POPULAR DE PUERTO RICO,$,5000,25,Other,"Oct 21, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/701/732/datas/medium_square.png,item-01730,2018-10-21,2018-10-28
RealityHacks Presents: A Weekend of AR & VR,Computer Science Instructional Center,$,100,6,Other,"Oct 21, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/691/473/datas/medium_square.png,item-01731,2018-10-21,2018-10-28
"Women's Hackathon @ CSUSM October 20, 2018","Academic Hall, Kellogg Library, University Student Union",$,260,25,Other,"Oct 20, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/697/730/datas/medium_square.png,item-01732,2018-10-20,2018-10-27
Games4Health 2018,University of Pittsburgh - Information Sciences Building,$,4250,11,Other,"Oct 20 - 21, 2018",False,['Lifehacks'],https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-01733,2018-10-20,2018-10-21
Hackvie EU 2018,No location yet,$,900,14,Other,"Nov 27 - 28, 2018",False,['Lifehacks'],https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/000/697/558/datas/medium_square.png,item-01734,2018-11-27,2018-11-28
